
0,0,January,21.7,32.741935999999995,1.5,Rockwell
1,1,February,22.7,32.925,1.16,Rockwell
2,2,March,21.9,31.757862,0.67,Rockwell
3,3,April,19.8,29.02,0.85,Rockwell
4,4,May,16.9,25.025806,1.61,Rockwell
5,5,June,14.5,21.926666,2.76,Rockwell
6,6,July,13.0,19.745161,3.0,Rockwell
7,7,August,12.7,22.21613,2.17,Rockwell
8,8,September,13.2,22.17659,1.05,Rockwell
9,9,October,15.4,24.837358,0.6,Rockwell
10,10,November,17.9,28.763334000000004,0.69,Rockwell
11,11,December,20.0,31.393549,0.63,Rockwell
12,0,January,13.5,29.690323,0.73,Balingup
13,1,February,14.2,30.60357,0.71,Balingup
14,2,March,13.4,26.578386,1.11,Balingup
15,3,April,11.7,23.333334,1.39,Balingup
16,4,May,9.1,20.135485,2.93,Balingup
17,5,June,7.8,16.536667,3.12,Balingup
18,6,July,6.5,14.848386999999999,4.59,Balingup
19,7,August,6.3,16.541935000000002,3.74,Balingup
20,8,September,6.6,17.736847,3.18,Balingup
21,9,October,8.2,22.044874,1.6,Balingup
22,10,November,9.9,25.516666,1.39,Balingup
23,11,December,12.0,32.129032,0.79,Balingup
24,0,January,24.7,39.70645,2.38,Whim Creek
25,1,February,23.2,36.046715,2.36,Whim Creek
26,2,March,20.7,34.84516,1.52,Whim Creek
27,3,April,16.1,30.695666999999997,0.34,Whim Creek
28,4,May,11.5,24.332258,0.53,Whim Creek
29,5,June,7.9,20.333334,0.18,Whim Creek
30,6,July,8.1,22.680645000000002,0.59,Whim Creek
31,7,August,9.7,26.951612,0.19,Whim Creek
32,8,September,13.6,30.463333000000002,0.54,Whim Creek
33,9,October,17.9,33.687225,0.8,Whim Creek
34,10,November,21.5,36.413334000000006,1.26,Whim Creek
35,11,December,23.7,39.00645,2.25,Whim Creek
36,0,January,22.0,24.865742,1.77,Waikiki
37,1,February,21.5,24.732143,2.98,Waikiki
38,2,March,21.6,24.754839,3.35,Waikiki
39,3,April,22.6,25.399233,2.03,Waikiki
40,4,May,23.4,26.1,1.86,Waikiki
41,5,June,24.2,26.913334000000003,1.42,Waikiki
42,6,July,24.7,27.813129999999997,0.98,Waikiki
43,7,August,25.1,28.252,1.47,Waikiki
44,8,September,25.3,28.202646,1.78,Waikiki
